month,day,data,median,LB,UB,
5,31,18,18,NA,NA,
6,7,21,21,NA,NA,
6,14,58,58,NA,NA,
6,21,165,165,NA,NA,
6,28,215,215,NA,NA,
7,5,315,315,NA,NA,
7,12,930,930,NA,NA,
7,19,1499,1499,NA,NA,
7,26,2819.440519,2819.440519,1281.48554,6203.148295,
8,2,5303.031914,5303.031914,1738.712994,16174.11705,
8,9,9974.371616,9974.371616,2545.341654,39086.33993,
8,16,18760.60539,18760.60539,3875.684311,90812.43117,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
