month,day,data,median,LB,UB
5,26,10,10,10,10
6,2,26,25.0747148205553,-0,344.802055240625
6,9,46,51.3521073185816,-0,356.270830950729
6,16,83,98.2787982731169,-0,404.012092396163
6,23,231,170.246597817279,-0,517.982950834599
6,30,240,286.460519144107,-0,724.754952992402
7,7,530,507.135812618225,247.360721082782,1115.17706944175
7,14,1084,1159.07223921145,715.889098849365,1783.96138304041
7,21,2398,2205.1714215298,1521.91410852477,2583.33710762945
7,28,1956,2036.68763910219,1501.69547523745,2556.80469719543
8,4,NaN,1175.65456613596,704.53398620464,2554.23165469439
8,11,NaN,742.422204553736,201.64618516019,2333.1015788698
8,18,NaN,538.443084497583,48.1403171290914,1926.23614171916
8,25,NaN,399.635486690836,-0,1418.01390445716
