year,month,day,data,median,LB,UB
2022,10,13,404,404,404,404
2022,10,20,329,321.697744962283,296.261968307674,346.041296108761
2022,10,27,277,283.857099150001,262.172547291642,304.201267043736
2022,11,3,232,230.711626878515,209.743679842373,251.220672797293
2022,11,10,174,178.225976761775,158.429794338216,197.808543261182
2022,11,17,133,132.563053517042,113.045554168689,151.85444668899
2022,11,24,102,96.513274704771,77.3650388925329,115.837725997232
2022,12,1,84,69.0767436786288,50.1271943485153,88.3222927259611
2022,12,8,34,49.0226999990969,29.9148657348529,68.5246726429915
2022,12,15,37,34.8485470032727,15.7893965658193,54.0214776800899
2022,12,22,NaN,24.6811405412369,5.42055421168149,43.708786483293
2022,12,29,NaN,17.5432074976695,-0,35.4245651795856
2023,1,5,NaN,12.4622193534181,-0,31.2265497323742
2023,1,12,NaN,8.52586561701771,-0,26.8263363635156
